support_id,region_id,support_date,program,education_level,age_group,sex,completed,employment_outcome
638,6,2024-10-01,CV workshop,Upper secondary,35-44,Male,Yes,Still unemployed
639,3,2024-09-01,CV workshop,Bachelor,25-34,Male,Yes,Employed
640,2,2024-03-01,Skills training,Master,35-44,Male,No,Still unemployed
641,10,2024-08-01,Skills training,Master,35-44,Female,Yes,Employed
642,7,2025-01-01,Language course,Master,55+,Male,Yes,Training
643,6,2022-04-01,Job placement,Upper secondary,18-24,Male,No,Training
644,5,2024-01-01,Language course,Master,25-34,Male,No,Still unemployed
645,1,2025-05-01,Employer matching,Upper secondary,18-24,Female,Yes,Still unemployed
646,10,2023-08-01,Job placement,Master,45-54,Female,Yes,Employed
647,7,2024-03-01,CV workshop,Bachelor,25-34,Male,Yes,Employed
648,6,2023-09-01,Employer matching,Lower secondary,18-24,Male,Yes,Training
649,10,2025-05-01,Skills training,Upper secondary,18-24,Female,Yes,Still unemployed
650,3,2025-03-01,Employer matching,Master,35-44,Male,No,Training
651,3,2025-03-01,Job placement,Bachelor,18-24,Female,Yes,Still unemployed
652,8,2023-07-01,Job placement,Master,25-34,Female,Yes,Still unemployed
653,9,2025-10-01,CV workshop,Master,25-34,Female,Yes,Employed
654,5,2023-11-01,Skills training,Lower secondary,35-44,Female,No,Still unemployed
655,2,2024-12-01,Employer matching,Lower secondary,18-24,Male,Yes,Employed
656,9,2023-01-01,Skills training,Doctorate,25-34,Male,No,Still unemployed
657,2,2022-09-01,Employer matching,Bachelor,45-54,Male,Yes,Employed
658,5,2022-01-01,Language course,Master,18-24,Female,Yes,Employed
659,5,2023-02-01,Employer matching,Upper secondary,18-24,Male,Yes,Employed
660,3,2022-11-01,Job placement,Upper secondary,35-44,Male,Yes,Employed
661,10,2025-11-01,Language course,Lower secondary,25-34,Male,Yes,Still unemployed
662,5,2025-03-01,Language course,Upper secondary,25-34,Female,Yes,Employed
663,7,2025-12-01,Job placement,Lower secondary,18-24,Male,Yes,Employed
664,2,2025-08-01,Job placement,Master,35-44,Female,Yes,Employed
665,9,2024-04-01,Language course,Master,25-34,Male,No,Still unemployed
666,4,2024-12-01,Job placement,Master,45-54,Female,No,Still unemployed
667,2,2022-11-01,CV workshop,Lower secondary,18-24,Male,No,Still unemployed
668,6,2023-09-01,Language course,Bachelor,55+,Male,Yes,Employed
669,6,2025-04-01,Job placement,Upper secondary,18-24,Female,Yes,Employed
670,7,2024-09-01,Employer matching,Lower secondary,25-34,Male,Yes,Employed
671,8,2025-10-01,Employer matching,Lower secondary,18-24,Female,Yes,Still unemployed
672,4,2022-06-01,CV workshop,Master,45-54,Male,Yes,Employed
673,4,2023-11-01,CV workshop,Upper secondary,25-34,Male,Yes,Employed
674,2,2022-05-01,Language course,Bachelor,18-24,Female,Yes,Employed
675,10,2022-08-01,Employer matching,Master,35-44,Male,No,Still unemployed
676,4,2022-10-01,Job placement,Bachelor,25-34,Male,Yes,Employed
677,10,2024-12-01,Language course,Upper secondary,35-44,Male,No,Employed
678,6,2024-05-01,Language course,Doctorate,25-34,Male,Yes,Still unemployed
679,10,2023-12-01,Employer matching,Bachelor,18-24,Female,Yes,Employed
680,6,2023-09-01,Job placement,Upper secondary,45-54,Female,Yes,Still unemployed
681,10,2025-05-01,CV workshop,Bachelor,25-34,Male,No,Still unemployed
682,9,2022-09-01,Language course,Bachelor,18-24,Female,Yes,Employed
683,1,2023-07-01,Job placement,Master,35-44,Male,Yes,Still unemployed
684,1,2024-03-01,Job placement,Master,45-54,Male,Yes,Still unemployed
685,2,2023-07-01,Employer matching,Upper secondary,25-34,Male,Yes,Still unemployed
686,6,2025-08-01,CV workshop,Master,45-54,Male,Yes,Employed
687,2,2023-07-01,Job placement,Bachelor,18-24,Male,No,Still unemployed
688,2,2024-03-01,Skills training,Bachelor,25-34,Female,Yes,Employed
689,3,2024-05-01,Job placement,Upper secondary,35-44,Female,No,Training
690,9,2024-01-01,Employer matching,Lower secondary,45-54,Male,Yes,Still unemployed
691,4,2022-10-01,Employer matching,Lower secondary,18-24,Male,No,Still unemployed
692,7,2023-06-01,Language course,Master,35-44,Female,No,Still unemployed
693,4,2025-12-01,CV workshop,Upper secondary,45-54,Female,No,Employed
694,3,2022-01-01,Job placement,Bachelor,18-24,Female,Yes,Employed
695,2,2025-05-01,Employer matching,Master,18-24,Female,Yes,Employed
696,6,2022-12-01,Language course,Doctorate,35-44,Female,No,Still unemployed
697,6,2024-06-01,CV workshop,Doctorate,25-34,Male,Yes,Employed
698,9,2023-04-01,Job placement,Master,25-34,Male,No,Still unemployed
699,9,2022-08-01,CV workshop,Bachelor,45-54,Female,No,Employed
700,2,2023-10-01,Language course,Upper secondary,18-24,Male,Yes,Employed
701,6,2023-10-01,Language course,Lower secondary,35-44,Male,Yes,Training
702,4,2025-09-01,Job placement,Upper secondary,45-54,Male,No,Still unemployed
703,7,2022-09-01,Skills training,Upper secondary,25-34,Female,Yes,Training
704,5,2023-03-01,Employer matching,Bachelor,35-44,Female,Yes,Still unemployed
705,4,2025-05-01,Employer matching,Bachelor,35-44,Female,Yes,Training
706,3,2023-04-01,Skills training,Doctorate,25-34,Male,No,Training
707,5,2022-01-01,Language course,Upper secondary,35-44,Female,Yes,Employed
708,2,2023-04-01,Employer matching,Doctorate,18-24,Female,Yes,Employed
709,5,2023-10-01,Employer matching,Master,45-54,Male,Yes,Employed
710,2,2022-11-01,CV workshop,Bachelor,18-24,Male,Yes,Employed
711,2,2022-08-01,CV workshop,Upper secondary,25-34,Male,Yes,Employed
712,4,2023-09-01,Employer matching,Bachelor,25-34,Male,Yes,Still unemployed
713,8,2022-02-01,Job placement,Bachelor,25-34,Female,Yes,Employed
714,8,2024-12-01,Job placement,Master,35-44,Female,Yes,Employed
715,10,2023-07-01,Skills training,Bachelor,35-44,Female,Yes,Employed
716,10,2024-12-01,Job placement,Doctorate,45-54,Female,Yes,Still unemployed
717,3,2023-12-01,Employer matching,Upper secondary,25-34,Female,Yes,Employed
718,3,2022-01-01,CV workshop,Upper secondary,35-44,Male,Yes,Employed
719,10,2025-12-01,Job placement,Master,18-24,Female,Yes,Still unemployed
720,9,2025-01-01,Employer matching,Doctorate,45-54,Male,Yes,Employed
721,7,2022-04-01,Language course,Upper secondary,25-34,Male,No,Employed
722,5,2023-07-01,Employer matching,Lower secondary,35-44,Female,Yes,Employed
723,3,2024-08-01,CV workshop,Bachelor,55+,Female,No,Still unemployed
724,2,2022-01-01,Job placement,Master,45-54,Female,Yes,Employed
725,10,2022-10-01,Skills training,Bachelor,25-34,Female,Yes,Still unemployed
726,6,2025-12-01,Employer matching,Upper secondary,25-34,Male,Yes,Employed
727,1,2024-11-01,Language course,Bachelor,18-24,Male,No,Still unemployed
728,4,2025-06-01,CV workshop,Upper secondary,35-44,Male,Yes,Employed
729,8,2025-08-01,Skills training,Upper secondary,35-44,Female,No,Still unemployed
730,4,2023-06-01,CV workshop,Bachelor,35-44,Female,Yes,Still unemployed
731,10,2025-03-01,Job placement,Lower secondary,25-34,Male,Yes,Employed
732,4,2024-09-01,Job placement,Master,35-44,Female,Yes,Employed
733,9,2024-06-01,CV workshop,Master,25-34,Female,No,Still unemployed
734,6,2024-07-01,Skills training,Doctorate,25-34,Female,No,Still unemployed
735,9,2022-10-01,CV workshop,Master,18-24,Female,Yes,Still unemployed
736,5,2025-12-01,CV workshop,Upper secondary,35-44,Female,Yes,Still unemployed
737,7,2022-08-01,Job placement,Upper secondary,25-34,Male,No,Training
738,4,2022-09-01,Employer matching,Bachelor,35-44,Male,Yes,Still unemployed
739,3,2025-07-01,CV workshop,Master,45-54,Male,Yes,Still unemployed
740,2,2022-11-01,Employer matching,Lower secondary,35-44,Female,Yes,Employed
741,5,2022-04-01,Job placement,Doctorate,35-44,Female,Yes,Employed
742,6,2024-09-01,Skills training,Bachelor,45-54,Female,No,Still unemployed
743,7,2023-03-01,CV workshop,Master,55+,Female,Yes,Still unemployed
744,9,2022-04-01,Language course,Bachelor,25-34,Male,Yes,Employed
745,10,2022-10-01,Language course,Master,25-34,Female,No,Still unemployed
746,4,2025-04-01,Language course,Master,25-34,Female,No,Employed
747,1,2022-08-01,CV workshop,Bachelor,18-24,Male,Yes,Employed
748,6,2022-11-01,CV workshop,Bachelor,25-34,Female,Yes,Still unemployed
749,9,2024-08-01,Skills training,Doctorate,35-44,Female,Yes,Still unemployed
750,7,2025-01-01,Language course,Doctorate,45-54,Female,Yes,Still unemployed
751,6,2024-03-01,Language course,Master,45-54,Female,Yes,Employed
752,5,2022-08-01,Skills training,Master,18-24,Female,Yes,Still unemployed
753,10,2023-03-01,CV workshop,Bachelor,25-34,Male,Yes,Still unemployed
754,8,2024-12-01,Language course,Bachelor,55+,Male,No,Still unemployed
755,9,2023-11-01,CV workshop,Upper secondary,35-44,Female,Yes,Employed
756,1,2022-04-01,Job placement,Bachelor,55+,Male,Yes,Training
757,3,2025-07-01,Job placement,Upper secondary,25-34,Male,Yes,Still unemployed
758,2,2022-05-01,Language course,Upper secondary,25-34,Female,No,Still unemployed
759,6,2024-09-01,Language course,Upper secondary,25-34,Male,Yes,Still unemployed
760,1,2022-03-01,Employer matching,Bachelor,45-54,Female,Yes,Employed
761,9,2023-08-01,Employer matching,Lower secondary,25-34,Male,Yes,Still unemployed
762,10,2024-08-01,CV workshop,Master,25-34,Female,Yes,Employed
763,9,2022-09-01,Language course,Master,45-54,Female,Yes,Employed
764,1,2022-08-01,Job placement,Bachelor,25-34,Male,Yes,Employed
765,6,2024-08-01,Job placement,Bachelor,25-34,Female,Yes,Employed
766,9,2023-06-01,Job placement,Doctorate,45-54,Male,No,Employed
767,5,2023-02-01,Language course,Upper secondary,25-34,Male,Yes,Training
768,1,2025-07-01,Language course,Bachelor,35-44,Male,No,Still unemployed
769,8,2023-03-01,Employer matching,Master,18-24,Male,Yes,Training
770,5,2023-04-01,Employer matching,Master,55+,Male,Yes,Training
771,9,2025-03-01,Language course,Master,35-44,Male,Yes,Employed
772,6,2022-08-01,Job placement,Upper secondary,55+,Male,Yes,Employed
773,4,2023-10-01,Language course,Master,45-54,Male,Yes,Employed
774,8,2024-09-01,Language course,Lower secondary,45-54,Female,No,Still unemployed
775,8,2022-04-01,Skills training,Bachelor,18-24,Female,Yes,Employed
776,2,2022-08-01,Job placement,Lower secondary,25-34,Male,Yes,Employed
777,3,2025-09-01,CV workshop,Upper secondary,18-24,Female,Yes,Still unemployed
778,7,2024-11-01,Job placement,Bachelor,35-44,Female,No,Still unemployed
779,10,2023-04-01,Skills training,Master,55+,Male,Yes,Employed
780,9,2023-10-01,CV workshop,Bachelor,25-34,Female,Yes,Employed
781,2,2023-06-01,Language course,Doctorate,25-34,Female,Yes,Training
782,10,2025-09-01,Employer matching,Bachelor,25-34,Male,Yes,Employed
783,5,2024-12-01,Job placement,Lower secondary,35-44,Female,Yes,Employed
784,10,2022-12-01,Skills training,Upper secondary,45-54,Male,Yes,Employed
785,3,2022-05-01,Skills training,Master,35-44,Female,Yes,Still unemployed
786,10,2023-12-01,Job placement,Doctorate,45-54,Female,Yes,Employed
787,6,2025-03-01,Job placement,Bachelor,25-34,Male,No,Still unemployed
788,4,2025-05-01,Job placement,Master,25-34,Male,Yes,Employed
789,4,2022-05-01,Employer matching,Bachelor,25-34,Female,Yes,Employed
790,2,2024-08-01,CV workshop,Bachelor,18-24,Male,Yes,Still unemployed
791,10,2023-11-01,Skills training,Master,45-54,Male,No,Employed
792,5,2022-10-01,Language course,Bachelor,35-44,Female,Yes,Employed
793,7,2024-02-01,Language course,Bachelor,18-24,Male,Yes,Employed
794,3,2022-04-01,Job placement,Bachelor,35-44,Male,No,Still unemployed
795,4,2022-03-01,Language course,Upper secondary,35-44,Female,Yes,Training
796,10,2024-03-01,Job placement,Bachelor,45-54,Female,No,Still unemployed
797,1,2022-09-01,Job placement,Upper secondary,18-24,Female,Yes,Employed
798,5,2024-04-01,Language course,Doctorate,18-24,Female,Yes,Employed
799,6,2025-11-01,Employer matching,Upper secondary,25-34,Male,No,Still unemployed
800,4,2022-11-01,Job placement,Upper secondary,25-34,Female,Yes,Employed
801,6,2024-11-01,Language course,Master,18-24,Female,Yes,Training
802,10,2025-02-01,CV workshop,Upper secondary,45-54,Female,Yes,Training
803,4,2022-07-01,Skills training,Bachelor,55+,Male,No,Training
804,3,2022-12-01,Employer matching,Master,35-44,Female,Yes,Employed
805,3,2022-11-01,Job placement,Bachelor,45-54,Male,Yes,Employed
806,5,2025-11-01,Skills training,Upper secondary,35-44,Male,Yes,Employed
807,9,2024-05-01,Language course,Bachelor,35-44,Female,Yes,Employed
808,5,2024-11-01,Language course,Lower secondary,45-54,Female,Yes,Employed
809,7,2022-06-01,Skills training,Bachelor,45-54,Male,No,Still unemployed
810,9,2024-06-01,CV workshop,Bachelor,25-34,Female,Yes,Still unemployed
811,2,2024-03-01,Language course,Master,45-54,Male,No,Employed
812,5,2024-08-01,Job placement,Master,18-24,Female,Yes,Still unemployed
813,10,2023-10-01,Job placement,Bachelor,18-24,Female,Yes,Employed
814,4,2022-01-01,Language course,Master,25-34,Female,Yes,Employed
815,3,2024-08-01,Job placement,Upper secondary,25-34,Female,Yes,Still unemployed
816,2,2023-06-01,CV workshop,Upper secondary,25-34,Female,Yes,Employed
817,2,2023-01-01,Language course,Bachelor,45-54,Female,Yes,Employed
818,6,2025-06-01,Language course,Master,35-44,Female,Yes,Employed
819,8,2022-09-01,CV workshop,Upper secondary,25-34,Female,Yes,Employed
820,7,2025-09-01,Skills training,Bachelor,45-54,Female,Yes,Employed
821,6,2023-12-01,Skills training,Upper secondary,35-44,Female,Yes,Training
822,3,2022-10-01,Job placement,Upper secondary,45-54,Male,No,Employed
823,6,2025-05-01,Language course,Upper secondary,25-34,Female,Yes,Employed
824,7,2025-08-01,Job placement,Upper secondary,25-34,Male,No,Still unemployed
825,3,2025-10-01,CV workshop,Bachelor,25-34,Male,Yes,Employed
826,5,2023-06-01,CV workshop,Bachelor,45-54,Male,Yes,Still unemployed
827,6,2025-09-01,Employer matching,Upper secondary,25-34,Male,Yes,Still unemployed
828,1,2024-10-01,CV workshop,Doctorate,18-24,Female,Yes,Employed
829,7,2023-07-01,Skills training,Bachelor,35-44,Female,Yes,Employed
830,1,2025-07-01,Employer matching,Upper secondary,25-34,Male,Yes,Employed
831,5,2024-01-01,CV workshop,Doctorate,35-44,Male,Yes,Employed
832,1,2022-11-01,Language course,Upper secondary,35-44,Male,Yes,Still unemployed
833,3,2024-12-01,Job placement,Bachelor,25-34,Female,No,Still unemployed
834,5,2022-07-01,Employer matching,Bachelor,55+,Male,No,Still unemployed
835,2,2023-03-01,Job placement,Master,25-34,Female,Yes,Employed
836,9,2023-11-01,Job placement,Bachelor,35-44,Female,Yes,Employed
837,9,2024-05-01,Job placement,Lower secondary,35-44,Male,Yes,Still unemployed
838,4,2024-06-01,Employer matching,Upper secondary,35-44,Male,Yes,Still unemployed
839,6,2025-04-01,Language course,Upper secondary,18-24,Male,Yes,Still unemployed
840,7,2024-04-01,Language course,Upper secondary,25-34,Female,Yes,Employed
841,5,2024-01-01,Skills training,Master,45-54,Female,No,Still unemployed
842,9,2024-09-01,Employer matching,Bachelor,45-54,Female,Yes,Still unemployed
843,9,2024-01-01,Skills training,Lower secondary,18-24,Female,Yes,Employed
844,6,2025-09-01,Employer matching,Lower secondary,25-34,Female,No,Training
845,7,2023-07-01,CV workshop,Upper secondary,25-34,Female,No,Still unemployed
846,10,2022-06-01,Job placement,Bachelor,45-54,Female,Yes,Employed
847,9,2024-06-01,Language course,Bachelor,55+,Male,Yes,Employed
848,4,2025-11-01,Job placement,Bachelor,25-34,Female,No,Still unemployed
849,10,2022-10-01,Employer matching,Master,35-44,Female,Yes,Employed
850,6,2022-08-01,Skills training,Bachelor,25-34,Female,Yes,Still unemployed
851,10,2023-09-01,Employer matching,Master,35-44,Male,No,Employed
852,6,2025-09-01,Language course,Doctorate,18-24,Female,No,Still unemployed
853,10,2023-02-01,Job placement,Bachelor,18-24,Male,Yes,Employed
854,2,2025-01-01,Job placement,Bachelor,25-34,Male,Yes,Employed
855,8,2023-01-01,Skills training,Master,45-54,Female,Yes,Training
856,5,2025-03-01,Employer matching,Bachelor,18-24,Male,No,Still unemployed
857,2,2023-01-01,Skills training,Master,25-34,Female,No,Employed
858,7,2025-06-01,Skills training,Bachelor,35-44,Male,Yes,Employed
859,6,2023-12-01,Employer matching,Master,25-34,Male,No,Employed
860,1,2022-06-01,Skills training,Bachelor,18-24,Female,Yes,Employed
861,2,2025-10-01,Job placement,Upper secondary,35-44,Female,Yes,Employed
862,7,2024-08-01,Employer matching,Master,18-24,Male,Yes,Employed
863,10,2022-01-01,Employer matching,Upper secondary,25-34,Male,No,Still unemployed
864,6,2023-05-01,Skills training,Doctorate,45-54,Female,Yes,Employed
865,4,2025-07-01,Language course,Master,35-44,Female,No,Still unemployed
866,4,2023-07-01,Skills training,Upper secondary,35-44,Male,No,Still unemployed
867,8,2025-10-01,CV workshop,Master,25-34,Male,No,Still unemployed
868,4,2024-02-01,Skills training,Master,35-44,Female,Yes,Employed
869,6,2022-06-01,Language course,Upper secondary,25-34,Male,Yes,Employed
870,9,2024-05-01,Job placement,Master,45-54,Female,Yes,Still unemployed
871,8,2022-04-01,CV workshop,Bachelor,35-44,Male,Yes,Employed
872,10,2024-10-01,Language course,Upper secondary,35-44,Male,Yes,Still unemployed
873,8,2022-04-01,CV workshop,Bachelor,25-34,Female,Yes,Training
874,4,2024-06-01,Skills training,Master,25-34,Female,Yes,Training
875,1,2022-08-01,CV workshop,Bachelor,18-24,Male,Yes,Employed
876,5,2022-11-01,Skills training,Bachelor,25-34,Female,Yes,Training
877,4,2022-10-01,CV workshop,Master,18-24,Female,Yes,Still unemployed
878,5,2023-06-01,Job placement,Master,18-24,Male,Yes,Employed
879,10,2024-06-01,Language course,Upper secondary,25-34,Male,Yes,Training
880,7,2025-06-01,Language course,Master,35-44,Female,Yes,Training
881,2,2024-08-01,Job placement,Bachelor,25-34,Male,Yes,Still unemployed
882,3,2024-11-01,Employer matching,Doctorate,45-54,Female,Yes,Employed
883,2,2025-05-01,Skills training,Bachelor,35-44,Female,Yes,Training
884,4,2023-11-01,Language course,Upper secondary,25-34,Male,Yes,Employed
885,10,2022-05-01,Skills training,Lower secondary,25-34,Male,Yes,Still unemployed
886,2,2022-12-01,CV workshop,Bachelor,25-34,Female,Yes,Training
887,8,2025-12-01,Job placement,Bachelor,25-34,Female,Yes,Employed
888,1,2025-04-01,Skills training,Master,25-34,Female,Yes,Employed
889,2,2025-12-01,Language course,Master,18-24,Male,No,Still unemployed
890,2,2022-12-01,Language course,Upper secondary,25-34,Male,Yes,Training
891,5,2022-08-01,Skills training,Doctorate,25-34,Male,No,Still unemployed
892,1,2025-08-01,CV workshop,Master,18-24,Male,No,Still unemployed
893,1,2025-12-01,CV workshop,Lower secondary,35-44,Male,Yes,Employed
894,3,2023-10-01,Skills training,Upper secondary,45-54,Male,No,Still unemployed
895,8,2025-12-01,Employer matching,Bachelor,25-34,Male,Yes,Employed
896,4,2024-08-01,Language course,Lower secondary,25-34,Male,Yes,Training
897,1,2025-05-01,Skills training,Upper secondary,45-54,Female,Yes,Employed
898,1,2022-11-01,CV workshop,Bachelor,45-54,Male,Yes,Employed
899,1,2024-04-01,Job placement,Doctorate,25-34,Male,No,Training
900,10,2022-08-01,CV workshop,Master,25-34,Male,No,Training
901,5,2025-01-01,CV workshop,Lower secondary,25-34,Male,Yes,Employed
902,2,2022-12-01,CV workshop,Master,35-44,Female,No,Employed
903,2,2025-06-01,Job placement,Upper secondary,45-54,Female,No,Employed
904,9,2024-03-01,Language course,Master,25-34,Male,No,Employed
905,9,2024-09-01,Skills training,Bachelor,35-44,Female,Yes,Employed
906,8,2024-10-01,Employer matching,Upper secondary,35-44,Male,Yes,Employed
907,6,2025-08-01,Employer matching,Doctorate,18-24,Female,Yes,Still unemployed
908,8,2023-12-01,Employer matching,Lower secondary,18-24,Male,Yes,Employed
909,5,2023-08-01,Job placement,Upper secondary,18-24,Female,Yes,Employed
910,3,2025-02-01,Employer matching,Lower secondary,25-34,Female,Yes,Employed
911,5,2023-08-01,Skills training,Upper secondary,25-34,Female,No,Still unemployed
912,10,2022-08-01,CV workshop,Upper secondary,25-34,Female,Yes,Employed
913,4,2024-07-01,Job placement,Doctorate,55+,Male,Yes,Employed
914,3,2025-09-01,Skills training,Bachelor,25-34,Male,Yes,Training
915,7,2024-07-01,Language course,Master,25-34,Male,Yes,Employed
916,1,2024-05-01,Employer matching,Upper secondary,35-44,Male,No,Training
917,6,2023-01-01,Employer matching,Upper secondary,55+,Female,Yes,Employed
918,2,2023-04-01,Employer matching,Bachelor,35-44,Male,Yes,Employed
919,1,2024-05-01,Employer matching,Master,45-54,Male,No,Still unemployed
920,4,2024-03-01,Employer matching,Bachelor,25-34,Female,No,Employed
921,8,2025-10-01,Skills training,Bachelor,25-34,Female,No,Employed
922,1,2023-10-01,Language course,Upper secondary,55+,Female,No,Training
923,1,2024-09-01,Job placement,Bachelor,55+,Male,Yes,Employed
924,9,2025-03-01,Language course,Bachelor,25-34,Male,No,Still unemployed
925,10,2024-09-01,Job placement,Lower secondary,45-54,Male,Yes,Employed
926,6,2023-02-01,CV workshop,Bachelor,25-34,Female,Yes,Employed
927,5,2025-04-01,Employer matching,Doctorate,18-24,Male,Yes,Employed
928,10,2024-06-01,Skills training,Upper secondary,35-44,Male,No,Still unemployed
929,3,2023-12-01,Employer matching,Upper secondary,35-44,Female,Yes,Still unemployed
930,6,2024-12-01,Employer matching,Bachelor,18-24,Female,No,Still unemployed
931,1,2025-04-01,Employer matching,Master,25-34,Female,Yes,Employed
932,1,2025-11-01,Language course,Bachelor,35-44,Male,Yes,Employed
933,4,2024-12-01,Employer matching,Upper secondary,25-34,Male,Yes,Employed
934,6,2022-05-01,CV workshop,Master,18-24,Male,Yes,Employed
935,1,2024-05-01,Job placement,Bachelor,55+,Female,Yes,Employed
936,1,2024-06-01,CV workshop,Master,55+,Female,Yes,Training
937,2,2022-04-01,CV workshop,Upper secondary,45-54,Male,Yes,Employed
938,10,2023-06-01,Skills training,Doctorate,35-44,Female,Yes,Employed
939,3,2022-05-01,CV workshop,Upper secondary,45-54,Male,Yes,Employed
940,7,2023-07-01,CV workshop,Doctorate,45-54,Female,Yes,Employed
941,10,2023-10-01,CV workshop,Lower secondary,35-44,Female,No,Still unemployed
942,4,2023-09-01,Employer matching,Upper secondary,35-44,Male,Yes,Employed
943,2,2025-01-01,Language course,Upper secondary,35-44,Female,No,Employed
944,7,2023-05-01,Skills training,Master,25-34,Male,Yes,Still unemployed
945,4,2023-06-01,CV workshop,Bachelor,18-24,Male,Yes,Training
946,8,2024-02-01,CV workshop,Bachelor,55+,Female,No,Employed
947,10,2022-07-01,Job placement,Doctorate,25-34,Female,Yes,Still unemployed
948,10,2022-12-01,Job placement,Upper secondary,18-24,Female,Yes,Employed
949,4,2024-07-01,Job placement,Upper secondary,55+,Male,Yes,Employed
950,7,2025-05-01,Skills training,Lower secondary,45-54,Male,Yes,Employed
951,5,2024-08-01,Language course,Bachelor,35-44,Male,Yes,Employed
952,7,2025-05-01,Job placement,Lower secondary,55+,Male,Yes,Still unemployed
953,3,2022-10-01,CV workshop,Upper secondary,45-54,Male,No,Still unemployed
954,5,2022-05-01,Skills training,Upper secondary,18-24,Female,No,Employed
955,2,2025-04-01,CV workshop,Bachelor,35-44,Male,Yes,Still unemployed
956,3,2022-04-01,Language course,Upper secondary,18-24,Male,Yes,Employed
957,3,2025-07-01,Skills training,Lower secondary,45-54,Male,Yes,Employed
958,4,2023-09-01,Job placement,Bachelor,25-34,Female,Yes,Employed
959,2,2022-02-01,Employer matching,Upper secondary,25-34,Male,Yes,Still unemployed
960,7,2024-09-01,CV workshop,Upper secondary,45-54,Female,Yes,Employed
961,10,2025-12-01,Employer matching,Bachelor,18-24,Female,Yes,Training
962,9,2024-05-01,CV workshop,Doctorate,55+,Female,No,Still unemployed
963,8,2025-03-01,Job placement,Master,18-24,Female,Yes,Training
964,7,2022-10-01,Employer matching,Master,18-24,Female,No,Still unemployed
965,4,2025-09-01,Job placement,Bachelor,18-24,Female,Yes,Training
966,10,2024-03-01,Skills training,Upper secondary,45-54,Female,Yes,Employed
967,6,2025-01-01,Skills training,Bachelor,25-34,Female,Yes,Employed
968,7,2022-01-01,CV workshop,Master,35-44,Male,No,Employed
969,1,2023-05-01,Employer matching,Upper secondary,45-54,Female,No,Employed
970,7,2022-08-01,Employer matching,Doctorate,35-44,Male,Yes,Still unemployed
971,2,2025-09-01,Job placement,Master,55+,Male,Yes,Training
972,1,2023-02-01,Language course,Bachelor,18-24,Male,Yes,Employed
973,10,2024-03-01,Language course,Bachelor,25-34,Female,Yes,Employed
974,7,2024-12-01,Language course,Master,45-54,Female,Yes,Employed
975,1,2023-01-01,CV workshop,Doctorate,45-54,Male,Yes,Training
976,1,2025-01-01,Job placement,Upper secondary,35-44,Female,Yes,Employed
977,8,2024-08-01,CV workshop,Lower secondary,25-34,Male,Yes,Employed
978,6,2022-06-01,CV workshop,Bachelor,45-54,Male,Yes,Employed
979,2,2023-01-01,Job placement,Upper secondary,25-34,Female,Yes,Employed
980,6,2022-09-01,Skills training,Upper secondary,25-34,Female,No,Still unemployed
981,10,2022-11-01,Job placement,Bachelor,45-54,Male,Yes,Still unemployed
982,7,2022-10-01,Employer matching,Bachelor,25-34,Female,Yes,Employed
983,9,2024-06-01,Language course,Upper secondary,45-54,Female,Yes,Training
984,9,2024-04-01,Skills training,Bachelor,35-44,Female,No,Still unemployed
985,10,2023-12-01,Job placement,Bachelor,45-54,Male,Yes,Employed
986,5,2022-05-01,Language course,Upper secondary,25-34,Female,No,Still unemployed
987,10,2024-11-01,Language course,Lower secondary,35-44,Male,Yes,Employed
988,5,2025-02-01,Skills training,Upper secondary,35-44,Female,Yes,Employed
989,4,2025-01-01,Employer matching,Lower secondary,25-34,Female,No,Employed
990,6,2024-09-01,Language course,Lower secondary,25-34,Female,Yes,Employed
991,9,2024-05-01,Job placement,Bachelor,45-54,Female,No,Still unemployed
992,4,2024-11-01,Skills training,Doctorate,25-34,Female,Yes,Training
993,5,2023-07-01,Skills training,Upper secondary,18-24,Male,No,Still unemployed
994,3,2023-03-01,CV workshop,Master,35-44,Female,Yes,Employed
995,4,2024-04-01,Language course,Upper secondary,45-54,Female,Yes,Employed
996,2,2024-03-01,CV workshop,Bachelor,55+,Female,Yes,Still unemployed
997,9,2022-08-01,CV workshop,Bachelor,45-54,Male,Yes,Employed
998,9,2023-03-01,Skills training,Doctorate,45-54,Male,Yes,Still unemployed
999,10,2022-08-01,Employer matching,Bachelor,18-24,Female,Yes,Employed
1000,1,2023-09-01,Language course,Bachelor,35-44,Female,Yes,Employed
1001,1,2025-02-01,Employer matching,Upper secondary,35-44,Female,Yes,Employed
1002,10,2022-05-01,CV workshop,Master,25-34,Female,Yes,Employed
1003,9,2024-06-01,Skills training,Doctorate,45-54,Female,Yes,Employed
1004,3,2022-10-01,Employer matching,Upper secondary,55+,Female,Yes,Employed
1005,5,2024-04-01,Skills training,Upper secondary,55+,Male,Yes,Still unemployed
1006,8,2022-04-01,Language course,Doctorate,18-24,Female,Yes,Still unemployed
1007,4,2022-10-01,Job placement,Bachelor,18-24,Male,Yes,Training
1008,8,2024-06-01,Employer matching,Lower secondary,18-24,Female,Yes,Training
1009,8,2025-10-01,Language course,Upper secondary,25-34,Male,Yes,Training
1010,4,2025-03-01,Skills training,Master,35-44,Male,No,Still unemployed
1011,1,2025-12-01,CV workshop,Master,35-44,Female,Yes,Employed
1012,5,2025-12-01,Employer matching,Lower secondary,25-34,Male,Yes,Employed
